sample_id,category,year,filename,section_position,section_text,power,privacy,safety,choice,community,engagement,ip_protection,improvement,care,accountability,B1_authenticity_claims,B2_religious_sensitivity,B3_indigenous_minority,B4_traditional_craftsmanship,B5_commercialization_culture,B6_ai_cultural_content,human_notes
S001,CCC,2025,CCC_20251112194848_KZ2GDGX572RH.html,4ÔÂ6ČŐ,"All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy . What happens to your TikTok account if there's a violation?",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S002,CCC,2024,CCC_20240417230402_TCOHRYCDQMZ2.html,1ÔÂ3ČŐ,"Creator Academy Home Knowledge base Courses Creator Center Community Guidelines Creator Code of Conduct Creator Code of Conduct 0 views Last updated: Apr 17, 2024 TikTok offers a number of programs, features, events and campaigns that support, promote and reward creators for their content and contributions to our platform (collectively, ""Creator Activities""). We remind you that access to Creator Activities is a privilege and not a right. To help maintain a safe and welcoming environment for our community, we expect everyone to follow our Community Guidelines and Terms of Service .",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S003,CG,2022,CG_20220921235203_CGV6HHFXG37I.html,71-73,"Sexual exploitation

 Sexual exploitation is defined as any actual or attempted abuse of a position of vulnerability, power, or trust for sexual purposes, including profiting monetarily, socially, or politically from the sexual exploitation of another. We do not permit sexually exploitative content. **Do not post, upload, stream, or share:** 
- Content that depicts, solicits, promotes, normalizes, or glorifies non-consensual sexual acts or non-consensual touching, including rape and sexual assault 
- Content that depicts, solicits, promotes, normalizes, or glorifies the sharing of non-consensual intimate imagery, including sexual images that are taken, created, or shared without consent 
- Content that depicts, promotes, normalizes, or glorifies sexual violence 
- Content that depicts, promotes, or glorifies sexual solicitation, including offering or asking for sexual partners, sexual chats or imagery, sexual services, premium sexual content, or sexcamming 

Nudity and sexual activity involving adults

 Nudity and sexual activity include content that is overtly revealing of breasts, genitals, anus, or buttocks, or behaviors that mimic, imply, or display sex acts.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S004,CG,sub,CG_sub_20241223144000_HXYAHTKQ35DJ.html,8ÔÂ10ČŐ,"This includes individual physical, psychological, financial, and privacy harms, as well as societal harms. To strike the right balance with free expression, we restrict content only when necessary and in a way that seeks to minimize the impact on speech. - Enable free expression:The creativity unlocked by expression is what powers our vibrant community.",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S005,CG,sub,CG_sub_20240710032929_QQBG4QAE5L7A.html,15-17,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particular location 
- Health misinformation, such as misleading statements about vaccines, inaccurate medical advice that discourages people from getting appropriate medical care for a life-threatening disease, or other misinformation which may cause negative health effects on an individual's life 
- Climate change misinformation that undermines well-established scientific consensus, such as denying the existence of climate change or the factors that contribute to it 
- Conspiracy theories that name and attack individual people 
- Conspiracy theories that are violent or hateful, such as making a violent call to action, having links to previous violence, denying well-documented violent events, or causing prejudice towards a group with a protected attribute FYF INELIGIBLE 
- Conspiracy theories that are unfounded and claim that certain events or situations are carried out by covert or powerful groups, such as ""the government"" or a ""secret society"" 
- Moderate harm health misinformation, such as an unproven recommendation for how to treat a minor illness 
- Repurposed media, such as showing a crowd at a music concert and suggesting it is a political protest 
- Misrepresenting authoritative sources, such as selectively referencing certain scientific data to support a conclusion that is counter to the findings of the study 
- Unverified claims related to an emergency or unfolding event 
- Potential high-harm misinformation while it is undergoing a fact-checking review ALLOWED 
- Statements of personal opinion (as long as it does not include harmful misinformation) 
- People sharing their own stories or experiences about medical treatment or procedures, or health care systems (as long as it does not contain harmful misinformation, or encourage people to ignore professional medical advice or public health authority guidance) 
- Discussions about climate change, such as the benefits or disadvantages of particular policies or technologies, or personal views related to specific weather events (as long as it does not undermine scientific consensus) 

Civic and Election Integrity

 Elections are important events and are often the subject of intense discussion and analysis. We try to balance enabling these discussions, while also being a place that brings people together and does not cause division. **We do not allow paid political promotion, political advertising, or fundraising by politicians and political parties (for themselves or others).** Our political advertising policy includes both traditional paid advertisements and creators receiving compensation to support or oppose a candidate for office.",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S006,CG,2022,CG_20220831172945_NNUKDNZZJLZP.html,36-38,"Sexual exploitation of minors includes any abuse of a position of power or trust for sexual purposes, including profiting financially, socially, sexually, or politically from the exploitation of a minor. CSAM is defined as any visual depiction of sexually explicit nudity or conduct of a minor, whether captured by predatory adults, peers, or self-generated by minors. **Do not post, upload, download, stream, or share:** 
- Content that shares, reshares, offers to trade or sell, or directs users off platform to obtain or distribute CSAM 
- Content that engages with minors in a sexualized way, or otherwise sexualizes a minor (e.g., via product features like duets) 
- Content that depicts, solicits, glorifies, or encourages child abuse imagery including nudity, sexualized minors, or sexual activity with minors 
- Content that depicts, promotes, normalizes, or glorifies pedophilia or the sexual assault of a minor 
- Content that re-victimized or capitalizes on minor victims of abuse by third party reshares or reenactments of assault or confessions 

Grooming behavior

 Grooming behaviors are those in which an adult builds an emotional relationship with a minor in order to gain the minor's trust for the purposes of future or ongoing sexual contact, sexual abuse, trafficking, or other exploitation.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S007,CG,sub,CG_sub_20240201070728_LOAW4ZOWWUBR.html,48-50,"**More information** **Human trafficking** involves earning a profit by exploiting others through the use of fraud, force, or coercion. Considered a form of modern slavery, it can include sex, labor, youth, or organ trafficking, forced marriage, exploitative begging, and the recruitment of youth soldiers. **Human smuggling** involves earning a profit by helping a person to illegally enter another country.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S008,CG,sub,CG_sub_20230422010542_MBFHH2MY4344.html,4ÔÂ6ČŐ,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive content patterns to ensure it is not viewed too often. Learn more about our approach to safeguarding and diversifying recommendations.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S009,CG,sub,CG_sub_20230523011735_7P5QYFSFHCJ5.html,44-46,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than the @username). You can set up multiple accounts on TikTok to create different channels for authentic creative expression, but not for deceptive purposes.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
S010,CG,sub,CG_sub_20231018054032_G4RDSI55DAXO.html,35-37,"**Branded content** is content that promotes goods or services where you receive something of value from a third party, such as a brand, in exchange for your post. This includes content that is required to be disclosed by your local laws or regulations. **Disclosures** are clear statements that explain your relationship to a third party.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S011,CG,sub,CG_sub_20231116035026_5JTHPOY4JATS.html,6ÔÂ8ČŐ,"We will also ban an account if we become aware that the account holder is a violent or hateful actor or has been convicted of a sexual crime or other serious offense against a young person. We may consider off-platform activity related to violence, hate, and child sexual exploitation and abuse to help make decisions about these account bans. We report accounts to law enforcement authorities if there is a specific, credible, and imminent threat to human life or serious physical injury.",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S012,CG,sub,CG_sub_20240413025339_5DAT52IBROXN.html,38-40,"Relationships include receiving financial compensation from, having a relative who works for, and being an employee of that third party. **Something of value** may refer to cash payments, free products, store credit, discounts, and special access to products, services, or events. **REQUIRED disclosures** 
- Branded content, by using thebranded content toggle(or a caption in video if the tool is unavailable in your region) 
- Information about your own business, when it might not otherwise be clear from the context that you may benefit from future commercial transactions 
- Affiliate and referral links that are included in an independent review of a product or service and which may result in a referral fee or a commission for any subsequent purchase 
- Research about a product, service, or industry when you have a relationship or connection with a company or industry involved in the manufacture or sale of that product or service 

Frauds and Scams

 We want people to be able to use our platform to learn about ways to be financially responsible and consider economic transactions or investment opportunities, without worrying about scams or financial exploitation.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S013,CG,sub,CG_sub_20251127092309_IG3O6ENQROZ6.html,55-57,"NOT ALLOWED 
- Content that violates someone else's copyrights, trademarks, or other IP rights FYF INELIGIBLE 
- Reused or unoriginal content posted without creative edits, such as clips that show someone elseˇŻs watermark or logo 
- Low-quality or minimally edited content, such as short clips made from GIFs only 

Deceptive Behaviors and Fake Engagement

 We want TikTok to be a trustworthy space where people around the world can create, connect, and learn. Authentic engagement is core to that experienceˇŞit helps power the recommendations you see. ThatˇŻs why we **donˇŻt allow accounts thatmislead or try to manipulate our platform,** or **the trade of services that artificially boost engagement or trick the recommendation system** .",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
S014,CG,sub,CG_sub_20240218100434_GIP5TSWXSJVH.html,2ÔÂ4ČŐ,"We welcome people coming together to find connections, participate in shared experiences, and feel part of a broader community. We work to make sure this occurs in a supportive space that does not negatively impact peopleˇŻs physical or psychological health. Suicide and Self-Harm

 We want TikTok to be a place where people can discuss emotionally complex topics in a supportive way without increasing the risk of harm.",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S015,CG,2025,CG_20251101084515_7C7KXFKC4HBH.html,2ÔÂ4ČŐ,Our mission is simple: we want to inspire creativity and bring joy. We have Community Guidelines to help keep TikTok a safe and positive experience. These rules apply to everyone and everything on our platform.,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S016,CG,2021,CG_20210521045329_DIIQE7QMST5J.html,24-26,"When warranted, we will report threats to relevant legal authorities. To effectively protect our community, we may consider information available on other platforms and offline to identify violent and extremist individuals and organizations on our platform. If we find such individuals or organizations on TikTok, we will close their accounts.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S017,NEWS,2020,NEWS_20200928202958_M3A2UP7M227Z.html,4ÔÂ6ČŐ,"Kerwin used his personal desire to develop a meaningful response to the current national crises and bring the community together to develop this event and provide a platform for artistic expression while magnifying messages of solidarity and peace. With performances by A-Trak, Anderson .Paak, ASAP Ferg, Beck, Buddy, DMC (of Run DMC), Hip Hop Harry, Ian Isiah, Jaden Smith, JPEGMAFIA, Kehlani, Lil Yachty, Mac DeMarco, Major Lazer, Miguel, Sheck Wes, The Interrupters, Yo Gabba Gabba and more, this unique telethon will be one you won't want to miss. @kerwinfrost The 1st Annual Kerwin Frost Telethon is this Sunday 9am PST / 12pm EST right here on TikTok!",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
S018,NEWS,2020,NEWS_20201101111243_NTYRZOUK6SWI.html,4ÔÂ6ČŐ,"We're excited to help Kevin and everyone at the MDA revive this classic show for a modern audience by streaming it live on TikTok this Saturday, Oct 24 2020 from 5-7pm PT. The evening includes an unbelievable lineup of celebrities and performers here to entertain and encourage viewers to support an important cause. Acts appearing on the show will include music, comedy, fitness, dance, interviews, and a healthy dose of surprises to keep everyone tuned into the event.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S019,NEWS,2019,NEWS_20191206215613_RPFBTEGYAYDM.html,17-19,"Creating a positive community on TikTok requires a multifaceted approach that involves policies, settings and controls, technology, moderation, and more, but we believe this step towards more accessible user education is just as valuable. With ˇ°YouˇŻre in Control,ˇ± we hope youˇŻll feel inspired to use the tools at your disposal and take a deeper look into our privacy and safety resources in our Safety Center . This series is just one approach in our ongoing efforts to understand and listen deeply to the community and their needs as we strive to keep the TikTok community positive and supportive.",0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
S020,TOS,2025,TOS_20250211220242_THYDNJ5M4OKH.html,155-157,"Government Restricted Rights.** ?The Services and related documentation are ""Commercial Items"", as that term is defined at 48 C.F.R. ˇě2.101, consisting of ""Commercial Computer Software"" and ""Commercial Computer Software Documentation"", as such terms are used in 48 C.F.R. ˇě12.212 or 48 C.F.R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S021,TOS,2023,TOS_20230209033429_YI3PMHVKMMPP.html,144-146,"Arbitration Agreement. After the informal dispute resolution process any remaining dispute, controversy, or claim (collectively, ˇ°Claimˇ±) relating in any way to your use of TikTokˇŻs services and/or products, including the Services, or relating in any way to the communications between you and TikTok or any other user of the Services, will be finally resolved by binding arbitration. This mandatory arbitration agreement applies equally to you and TikTok.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S022,TOS,2022,TOS_20221201002628_64MQEAHPFJLV.html,51-53,"You further acknowledge that, except as specifically permitted by us in these Terms or in another agreement you enter into with us, you (i) have no right to receive any income or other consideration from any User Content (defined below) or your use of any musical works, sound recordings or audiovisual clips made available to you on or through the Services, including in any User Content created by you, and (ii) are prohibited from exercising any rights to monetize or obtain consideration from any User Content within the Services or on any third party service ( e.g. , you cannot claim User Content that has been uploaded to a social media platform such as YouTube for monetization). Subject to the terms and conditions of the Terms, you are hereby granted a non-exclusive, limited, non-transferable, non-sublicensable, revocable, worldwide license to access and use the Services, including to download the Platform on a permitted device, and to access the TIkTok Content solely for your personal, non-commercial use through your use of the Services and solely in compliance with these Terms.",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
S023,TRANS,2021,TRANS_20210331222526_OVFCSAKYBPCG.html,35-37,"Additionally, visitors will learn how our application's algorithm operates. Due to constraints as a result of the coronavirus pandemic, the physical opening of our Transparency and Accountability Center has been delayed. We look forward to being able to welcome guests in the near future in Los Angeles and at our upcoming Transparency and Accountability Center in Washington D.C.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S024,TRANS,2021,TRANS_20210302134512_4PGI5NBVD5QX.html,27-29,"TikTok works with industry experts, non-governmental organizations, and industry associations around the world to build a safe platform for users. The Safety Center includes information about some of the organizations we're partnering with to share best practices and exchange ideas on safety-related topics. TikTok Content Advisory Council

 The TikTok Content Advisory Council brings together technology and safety experts who help shape our forward-looking policies that not only address the challenges of today, but also plan ahead for the next set of issues that our industry will face.",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
S025,VI,2021,VI_20211219031401_X7IV7VOZQQM5.html,113-115,"If you live in the European Union, you have certain rights to withdraw from a purchase under the Consumer Rights Directive and its implementing legislation. However, if you purchase Coins, you acknowledge and agree that we start supplying the Coins to you as soon as the purchase is complete and therefore, your right to cancel or withdraw from the agreement to purchase is lost at this point. How you can use Coins

 
- By purchasing Coins, you are rewarding/providing revenue to the Program for your use.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S026,VI,2023,VI_20230714075742_GJW5H657YXVW.html,115-117,"- Accrued Coins do not constitute property and are not transferable: (a) upon death; (b) as part of a domestic relations matter; or (c) otherwise by operation of law. - Any Coins assigned, sold, or otherwise transferred without the express written consent of our Platform are void. Any user of the Services who violates this restriction may have his or her account terminated us, forfeit Coins from his or her account, and/or be subject to liability for damages and litigation and transaction costs.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S027,VI,2022,VI_20221230005405_APGVFW5C7NRA.html,151-153,"- Accrued Diamonds do not constitute property and are not transferable: (a) upon death; (b) as part of a domestic relations matter; or (c) otherwise by operation of law. - Any Diamonds assigned, sold, or otherwise transferred without the PlatformˇŻs express written consent are void. Any user of the Services who violates this restriction may have his or her account terminated by us, forfeit Diamonds from his or her account, and/or be subject to liability for damages and litigation and transaction costs.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S028,VI,2023,VI_20230810100103_QQCQCEU2VWQW.html,72-74,"It is your responsibility to ensure that you provide your PayPal (or other payment channel) account information correctly. You are responsible for any losses caused by incorrect PayPal (or other payment channel) account information provided by you. Payment will not be sent to a PayPal account with an email address, a first and last name different from what appears on your account, and an account that has not been verified with PayPal; we may, at our sole discretion, request you to provide information to verify your identity (including your first and last name and your state ID number).",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S029,VI,2024,VI_20241207052646_XMY2MTGTETAE.html,2ÔÂ4ČŐ,"It is open to users of the Services who are? **aged 18 or older** ?and is subject to the following terms and conditions of this Virtual Items Policy. If you are between the ages of 18 and the age of legal majority in your jurisdiction, you may only participate in the Program with the permission of a parent or legal guardian who agrees to be bound by this Virtual Items Policy. Who is eligible to participate in the Program?",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S030,VI,2023,VI_20231002170744_4NIJG2CD4VPM.html,41-43,"Please note that changes may impact price as well as other aspects of the purchase. - Except as otherwise set out in this Policy, all sales of Gifts are final, and we do not offer refunds for any purchased Gifts. When you have exchanged your Coins for Gifts, such Coins will be deducted from your user account and credited with Gifts.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
