sample_id,category,code,human,gemini,gemini_reason,section_text
S001,CCC,community,0,1,The text refers to 'creators' as a specific group with a dedicated 'creator code of conduct' and 'Creator Academy'.,"All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy"
S001,CCC,care,0,1,"The section directs users to the 'Creator Academy' as a resource where they can 'Learn more', which qualifies as educational support.","All creators must follow our creator code of conduct in addition to our Community Guidelines , Terms of Service , and any policies relevant to our monetization products, such as TikTok Shop, Creator Rewards Program, and TikTok LIVE. Learn more about the creator code of conduct in our Creator Academy"
S003,CG,power,0,1,The text asserts the platform's authority by stating 'We do not permit sexually exploitative content.',"Sexual exploitation

 Sexual exploitation is defined as any actual or attempted abuse of a position of vulnerability, power, or trust for sexual purposes, including profiting monetarily, socially, or politically from the sexual exploitation of another. We do not permit sexually exploitative content."
S003,CG,engagement,0,1,"The text prohibits specific forms of user participation by stating 'Do not post, upload, stream, or share' certain content.","Sexual exploitation

 Sexual exploitation is defined as any actual or attempted abuse of a position of vulnerability, power, or trust for sexual purposes, including profiting monetarily, socially, or politically from the sexual exploitation of another. We do not permit sexually exploitative content."
S005,CG,community,1,0,,"NOT ALLOWED 
- Misinformation that poses a risk to public safety or may induce panic about a crisis event or emergency, including using historical footage of a previous attack as if it were current, or incorrectly claiming a basic necessity (such as food or water) is no longer available in a particu"
S006,CG,power,0,1,"The section asserts the platform's authority by explicitly prohibiting users from posting, uploading, streaming, or sharing specific content.","Sexual exploitation of minors includes any abuse of a position of power or trust for sexual purposes, including profiting financially, socially, sexually, or politically from the exploitation of a minor. CSAM is defined as any visual depiction of sexually explicit nudity or conduct of a minor, wheth"
S006,CG,engagement,0,1,"The text prohibits specific forms of interactivity and participation, such as posting, uploading, streaming, sharing, and using features like duets.","Sexual exploitation of minors includes any abuse of a position of power or trust for sexual purposes, including profiting financially, socially, sexually, or politically from the exploitation of a minor. CSAM is defined as any visual depiction of sexually explicit nudity or conduct of a minor, wheth"
S008,CG,engagement,0,1,"The text discusses content being 'eligible for the FYF' and how it is 'viewed', which relates to platform participation.","Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,CG,improvement,0,1,The text describes an effort to enhance platform features by discussing the 'approach to safeguarding and diversifying recommendations'.,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S008,CG,care,0,1,The text directs users to educational resources by stating 'Learn more about our approach...'.,"Certain types of content may be fine if seen occasionally, but problematic if viewed in clusters (such as videos that involve dieting, extreme fitness, sadness, or sexual suggestiveness). This type of content may be eligible for the FYF but, to protect our community, we will interrupt repetitive con"
S009,CG,power,0,1,The section asserts the platform's authority by stating 'We do not allow account behaviors...',"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,CG,safety,0,1,"The section prohibits harmful behaviors like spam, misleading content, and impersonation to protect the community.","**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,CG,choice,0,1,The section describes a user option: 'You can set up multiple accounts on TikTok...',"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,CG,community,0,1,The section invokes 'our community' as a collective group to be protected from spam and misleading behavior.,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S009,CG,ip_protection,1,0,,"**We do not allow account behaviors that may spam or mislead our community.** This includes conducting covert influence operations, and operating spam or impersonation accounts. Parody/fan-based accounts are allowed, as long as they are disclosed in the account name (note that this is different than"
S012,CG,power,0,1,"The text lists 'REQUIRED disclosures,' which asserts the platform's authority to govern commercial content.","Relationships include receiving financial compensation from, having a relative who works for, and being an employee of that third party. **Something of value** may refer to cash payments, free products, store credit, discounts, and special access to products, services, or events. **REQUIRED disclosu"
S012,CG,choice,0,1,"The text describes a user-selectable option, the 'branded content toggle,' for making required disclosures.","Relationships include receiving financial compensation from, having a relative who works for, and being an employee of that third party. **Something of value** may refer to cash payments, free products, store credit, discounts, and special access to products, services, or events. **REQUIRED disclosu"
S013,CG,safety,0,1,"The text prohibits deceptive behaviors and fake engagement to preserve a ""trustworthy space,"" which is a rule oriented toward preventing harm to the community.","NOT ALLOWED 
- Content that violates someone else's copyrights, trademarks, or other IP rights FYF INELIGIBLE 
- Reused or unoriginal content posted without creative edits, such as clips that show someone else’s watermark or logo 
- Low-quality or minimally edited content, such as short clips made f"
S015,CG,community,0,1,The section invokes the idea of a collective social group by referencing 'Community Guidelines' intended to create a 'safe and positive experience'.,Our mission is simple: we want to inspire creativity and bring joy. We have Community Guidelines to help keep TikTok a safe and positive experience. These rules apply to everyone and everything on our platform.
S015,CG,engagement,1,0,,Our mission is simple: we want to inspire creativity and bring joy. We have Community Guidelines to help keep TikTok a safe and positive experience. These rules apply to everyone and everything on our platform.
S019,NEWS,privacy,1,0,,"Creating a positive community on TikTok requires a multifaceted approach that involves policies, settings and controls, technology, moderation, and more, but we believe this step towards more accessible user education is just as valuable. With “You’re in Control,” we hope you’ll feel inspired to use"
S020,TOS,ip_protection,0,1,"The section defines the services and documentation using legal terms like 'Commercial Computer Software,' which directly relates to their status as intellectual property.","Government Restricted Rights.** ?The Services and related documentation are ""Commercial Items"", as that term is defined at 48 C.F.R. §2.101, consisting of ""Commercial Computer Software"" and ""Commercial Computer Software Documentation"", as such terms are used in 48 C.F.R. §12.212 or 48 C.F.R."
S021,TOS,power,0,1,"The section asserts that binding arbitration is the authority that will 'finally resolve' any dispute, establishing a governance mechanism for claims.","Arbitration Agreement. After the informal dispute resolution process any remaining dispute, controversy, or claim (collectively, “Claim”) relating in any way to your use of TikTok’s services and/or products, including the Services, or relating in any way to the communications between you and TikTok "
S022,TOS,engagement,0,1,The section discusses user participation through the creation of 'User Content' and the use of platform-provided assets like 'musical works'.,"You further acknowledge that, except as specifically permitted by us in these Terms or in another agreement you enter into with us, you (i) have no right to receive any income or other consideration from any User Content (defined below) or your use of any musical works, sound recordings or audiovisu"
S022,TOS,accountability,1,0,,"You further acknowledge that, except as specifically permitted by us in these Terms or in another agreement you enter into with us, you (i) have no right to receive any income or other consideration from any User Content (defined below) or your use of any musical works, sound recordings or audiovisu"
S023,TRANS,improvement,0,1,"The section describes an ""upcoming Transparency and Accountability Center,"" which represents an expansion of the platform's services.","Additionally, visitors will learn how our application's algorithm operates. Due to constraints as a result of the coronavirus pandemic, the physical opening of our Transparency and Accountability Center has been delayed. We look forward to being able to welcome guests in the near future in Los Angel"
S024,TRANS,care,0,1,The section points to the 'Safety Center' as a resource that includes information for users.,"TikTok works with industry experts, non-governmental organizations, and industry associations around the world to build a safe platform for users. The Safety Center includes information about some of the organizations we're partnering with to share best practices and exchange ideas on safety-related"
S025,VI,power,0,1,The section asserts the platform's authority by stating that the user's right to withdraw from a purchase is lost upon completion.,"If you live in the European Union, you have certain rights to withdraw from a purchase under the Consumer Rights Directive and its implementing legislation. However, if you purchase Coins, you acknowledge and agree that we start supplying the Coins to you as soon as the purchase is complete and ther"
S027,VI,ip_protection,0,1,"The section explicitly defines that 'Diamonds do not constitute property,' directly addressing the ownership rights of a digital asset.","- Accrued Diamonds do not constitute property and are not transferable: (a) upon death; (b) as part of a domestic relations matter; or (c) otherwise by operation of law. - Any Diamonds assigned, sold, or otherwise transferred without the Platform’s express written consent are void. Any user of the S"
S028,VI,safety,0,1,The section describes rules to prevent financial harm by ensuring correct payment information and verifying identity.,It is your responsibility to ensure that you provide your PayPal (or other payment channel) account information correctly. You are responsible for any losses caused by incorrect PayPal (or other payment channel) account information provided by you. Payment will not be sent to a PayPal account with a
S028,VI,engagement,1,0,,It is your responsibility to ensure that you provide your PayPal (or other payment channel) account information correctly. You are responsible for any losses caused by incorrect PayPal (or other payment channel) account information provided by you. Payment will not be sent to a PayPal account with a
S029,VI,power,0,1,The section asserts the platform's authority by stating participation is 'subject to the following terms and conditions'.,"It is open to users of the Services who are? **aged 18 or older** ?and is subject to the following terms and conditions of this Virtual Items Policy. If you are between the ages of 18 and the age of legal majority in your jurisdiction, you may only participate in the Program with the permission of a"
S030,VI,power,0,1,The section asserts the platform's authority by stating that all sales of Gifts are final and that it does not offer refunds.,"Please note that changes may impact price as well as other aspects of the purchase. - Except as otherwise set out in this Policy, all sales of Gifts are final, and we do not offer refunds for any purchased Gifts. When you have exchanged your Coins for Gifts, such Coins will be deducted from your use"
