sample_id,category,year,filename,section_position,matched_categories,matched_keywords,section_text,power,privacy,safety,choice,community,engagement,ip_protection,improvement,care,accountability,B1_authenticity_claims,B2_religious_sensitivity,B3_indigenous_minority,B4_traditional_craftsmanship,B5_commercialization_culture,B6_ai_cultural_content,human_notes
H012,CG,2020,CG_20200531133905_QDGFL5OGBCRI.html,38-40,traditional,tradition,"Violent and graphic content: Human

 **Do not post:** 
- Content that is gratuitously shocking, sadistic, or excessively graphic, including but not limited to: 
- Depictions of violent or accidental deaths involving real people 
- Depictions of dismembered, mutilated, charred, or burned human remains 
- Depictions of gore in which an open wound or injury is the core focus 
- Depictions of severe physical violence 
- Exceptions:Staged or professional fighting, traditional martial arts, or fighting in a fictional setting 

Violent and graphic content: Animals

 **Do not post:** 
- Content that is gratuitously shocking, sadistic, or excessively graphic, including but not limited to: 
- Depictions of the slaughter of real animals 
- Depictions of dismembered, mutilated, charred, or burned animal remains 
- Depictions of animal cruelty 

Suicide, self-harm, and dangerous acts

 We do not promote participation in activities that could lead to harm. We also do not permit users to encourage others to take part in dangerous activities. We do not allow content that promotes self-harm or suicide, but we do allow our users to share their experiences in order to raise awareness about these issues.",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Violent content + suicide/self-harm policy. power=1 ('do not post' + 'do not allow'). safety=1 (violence/self-harm/dangerous acts). B4=1 ('traditional martial arts' as exception).
H013,CG,sub,CG_sub_20231012125457_6FUFNSB3JH3C.html,14-16,traditional,tradition,"**We do not allow paid political promotion, political advertising, or fundraising by politicians and political parties (for themselves or others).** Our political ads policy includes both traditional paid ads and creators receiving compensation to support or oppose a candidate for office. We want to enable the informed exchange of civic ideas in a way that fosters productive dialogue. **We do not allow misinformation about civic and electoral processes, regardless of intent.** This includes misinformation about how to vote, registering to vote, eligibility requirements of candidates, the processes to count ballots and certify elections, and the final outcome of an election.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Political ads + electoral misinformation policy. power=1 ('we do not allow' twice). No explicit harm/violence language here so safety=0. B4=1 ('traditional paid ads').
H014,CG,sub,CG_sub_20230706153032_JBUCTJKNE3BJ.html,26-28,indigenous|traditional,"indigenous, tradition","For young people, it also includes wearing minimal clothing, such as only underwear. **Moderate body exposure** includes showing the visible outline of covered genitalia, nipples through clothing, and exposed skin near an intimate body part, such as a part of a breast and the upper part of the thigh. **NOT allowed** 
- Nudity of adults, including photography and digitally created images such as manga and anime 
- Nudity of young people, including visual fine art, objects, photography, and digitally created images such as manga and anime(learn more about CSAM inYouth Exploitation) 
- Significant body exposure of young people **Age-restricted (18 years and older)** 
- Significant body exposure of adults **FYF** **ineligible** 
- Significant body exposure of adults 
- Moderate body exposure of young people **Allowed** 
- Non-sexualized content showing areolas or nipples of:infants or toddlersgirls or women in medical contexts, for educational purposes, or as a part of a culturally accepted practice, such as indigenous populations who do not traditionally wear top coveringswomen in culturally expected contexts, such as breastfeeding and chestfeeding, at political protests, or at large celebration festivals such as Carnival 
- Areolas and nipples of men and boys (including those who are transgender or intersex), or people who are non-binary 
- Body exposure that appears in culturally expected contexts, such as athletes wearing sports apparel and swimsuits at a beach or festival 

Sexually Suggestive Content

 We welcome performances and dances where people can creatively express themselves, celebrate their culture, or seek to entertain.",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Body exposure policy with indigenous/cultural exceptions. power=1 (NOT allowed/Age-restricted/FYF rules). safety=1 (young people/CSAM protection). B3=1 ('indigenous populations' + 'culturally accepted/expected'). B4=1 ('traditionally wear top coverings').
H015,CG,sub,CG_sub_20240805035417_UEX4UQ7GUTP7.html,16-18,cultural,cultural practice,"We also do not want to amplify content that may not be suitable for a wide audience. Content is restricted (18 years and older) and is ineligible for the FYF if it shows semi-nudity of an adult. We allow regional exceptions for body exposure in limited situations, such as cultural practices.",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"FYF restriction with cultural exception. power=1 (content restricted, FYF ineligible). safety=1 (audience suitability protection). B3=1 ('cultural practices' as regional exception — coded under B3 as nearest-fit since codebook has no general 'cultural' code)."
H016,CG,sub,CG_sub_20250221021958_2QE7AL5F2WEF.html,25-27,cultural|religious,"religio, religi, ceremon, cultural practice","**Moderate physical harm** is harm that is unlikely to require professional medical treatment and does not pose a risk of disability or disfigurement. This includes small cuts with minimal blood loss and minor bruising on the body. NOT ALLOWED 
- Showing dangerous activity that involves visible or imminent significant physical harm, or promoting dangerous activity 
- Showing or promoting: 
- Inappropriate use of dangerous tools, such as knives, axes, chainsaws, or welding torches 
- Eating or drinking substances that are dangerous for humans to consume, such as rocks or detergent 
- Dangerous driving behavior, such as exceeding the speed limit, running a red light, or distracted driving (including live streaming while driving) RESTRICTED (18 years and older) 
- Showing activity that involves visible or imminent moderate physical harm, or promoting activity that is likely to lead to moderate physical harm 
- Showing activity that is likely to be imitated and may lead to any physical harm FYF INELIGIBLE 
- Showing activity that involves visible or imminent moderate physical harm, or promoting activity that is likely to lead to moderate physical harm ALLOWED 
- Using weapons, such as spears and shields, in ceremonial settings, religious festivals, and cultural practices **TikTok** 

Company

 About TikTok Newsroom Contact Careers ByteDance 

Programs

 TikTok for Good TikTok for Developers Effect House Advertise on TikTok TikTok Browse TikTok Embeds TikTok Rewards Download TikTok Scaled LIVE rewards 

Resources

 Help Center Safety Center Privacy Center Creator Academy Community Guidelines Transparency Accessibility 

Legal

 Terms of Service Privacy Policy Intellectual Property Policy TikTok Law Enforcement Guidelines Cookies Policy Impressum © 2025 TikTok",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Dangerous activity policy with ceremonial/religious/cultural exceptions. power=1 (NOT ALLOWED/RESTRICTED rules). safety=1 (physical harm). B2=1 ('religious festivals' + 'ceremonial settings'). B3=1 ('cultural practices').
H017,CG,sub,CG_sub_20241002184350_5QQD2ORX566J.html,25-27,cultural|religious,"religio, religi, ceremon, cultural practice","**Moderate physical harm** is harm that is unlikely to require professional medical treatment and does not pose a risk of disability or disfigurement. This includes small cuts with minimal blood loss and minor bruising on the body. NOT ALLOWED 
- Showing dangerous activity that involves visible or imminent significant physical harm, or promoting dangerous activity 
- Showing or promoting: 
- Inappropriate use of dangerous tools, such as knives, axes, chainsaws, or welding torches 
- Eating or drinking substances that are dangerous for humans to consume, such as rocks or detergent 
- Dangerous driving behavior, such as exceeding the speed limit, running a red light, or distracted driving (including live streaming while driving) RESTRICTED (18 years and older) 
- Showing activity that involves visible or imminent moderate physical harm, or promoting activity that is likely to lead to moderate physical harm 
- Showing activity that is likely to be imitated and may lead to any physical harm FYF INELIGIBLE 
- Showing activity that involves visible or imminent moderate physical harm, or promoting activity that is likely to lead to moderate physical harm ALLOWED 
- Using weapons, such as spears and shields, in ceremonial settings, religious festivals, and cultural practices English Bahasa Indonesia Deutsch English Español Français (France) Italiano Polski Português Tiếng Việt Türkçe Русский 한국어 日本語 繁體中文 العربية اردو Bahasa Melayu Čeština Filipino Magyar Nederlands Română Svenska Ελληνικά Українська বাংলা ภาษาไทย မြန်မာဘာသာ ភាសាខ្មែរ Suomi eesti keel български език hrvatski jezik Latviešu valoda ພາສາລາວ dansk Español (América Latina) Oʻzbek lietuvių kalba slovenčina norsk bokmål Қазақша Shqip Gaeilge Íslenska Slovenščina עברית हिंदी Bahasa Indonesia Deutsch English Español Français (France) Italiano Polski Português Tiếng Việt Türkçe Русский 한국어 日本語 繁體中文 العربية اردو Bahasa Melayu Čeština Filipino Magyar Nederlands Română Svenska Ελληνικά Українська বাংলা ภาษาไทย မြန်မာဘာသာ ភាសាខ្មែរ Suomi eesti keel български език hrvatski jezik Latviešu valoda ພາສາລາວ dansk Español (América Latina) Oʻzbek lietuvių kalba slovenčina norsk bokmål Қазақша Shqip Gaeilge Íslenska Slovenščina עברית हिंदी © 2024 TikTok",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Same content as H016 (different footer). power=1 (NOT ALLOWED rules). safety=1 (physical harm). B2=1 ('religious festivals' + 'ceremonial settings'). B3=1 ('cultural practices').
H018,CG,sub,CG_sub_20230706152738_TU4VGP354SCO.html,19-21,cultural,cultural practice,"We allow regional exceptions for body exposure in limited situations, such as common cultural practices. **More information** **Nudity** is showing intimate body parts that prevailing cultural norms indicate should be fully covered. This currently includes bare genitals and buttocks of anyone, as well as nipples and areolas of women and girls.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Body exposure regional exceptions + nudity definition. power=1 (regional rules on body exposure). No explicit harm/protection language in this passage so safety=0. B3=1 ('common cultural practices' + 'prevailing cultural norms').
H019,CG,sub,CG_sub_20250401211312_XMCLKAHMIKU7.html,24-26,cultural|traditional,"tradition, Cultural practice","**Semi-nudity** means being mostly unclothed and close to (but not actually) nude, such as implied nudity or wearing clothes that minimally cover intimate body parts. **Significant body exposure** means being clothed but having partially uncovered intimate body parts or only wearing intimate clothing, such as underwear. NOT ALLOWED 
- Showing nudity of adults and young people, including photography and digitally created images, such as manga and anime(learn more about CSAM inYouth Exploitation) 
- Showing semi-nudity or significant body exposure of young people, such as extremely cropped shirts, or only wearing underwear or lingerie RESTRICTED (18 years and older) 
- Showing semi-nudity of adults, such as wearing only nipple covers or underwear that does not cover the majority of the buttocks FYF INELIGIBLE 
- Showing semi-nudity of adults, such as wearing only nipple covers or underwear that does not cover the majority of the buttocks 
- Showing youth in clothing that exposes substantial cleavage, or the clothed outline of certain intimate body parts (genitalia and nipples) 
- Showing infants and toddlers (under the age of 4) with implied nudity or partially exposing their buttocks ALLOWED 
- Showing full nudity of infants during childbirth 
- Showing bare breasts of men and boys (including those who are transgender or intersex), infants and toddlers (under the age of 4), and people who are non-binary 
- Showing full buttocks of anyone, and bare breasts of women (and of girls, when we have additional context), in the following non-sexualized settings: 
- Cultural practice, such as breastfeeding or chestfeeding, populations who do not traditionally wear coverings, or during large traditional celebration festivals (such as Carnival) 
- Documentary or educational contexts, such as political protests 
- Scientific or medical contexts, such as breast reconstruction after a mastectomy 
- Showing body exposure that appears in culturally expected contexts, such as someone wearing a swimsuit at a beach or festival, or an athlete wearing a sports bra 

Sexually Suggestive Content

 We welcome you to creatively express yourself, celebrate your culture, or seek to entertain.",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Body exposure policy with cultural/traditional exceptions. power=1 (NOT ALLOWED/RESTRICTED). safety=1 (young people/CSAM). B3=1 ('Cultural practice' + 'culturally expected'). B4=1 ('traditionally wear coverings' + 'traditional celebration festivals').
H020,CG,sub,CG_sub_20241226112638_PPXINJOBSOK6.html,19-21,cultural,cultural practice,"More information **Nudity** means being unclothed and showing bare intimate body parts that prevailing cultural practices indicate should be fully covered. This includes bare breasts of women and girls, but not of men and boys (including those who are transgender or intersex), or people who are non-binary. We recognize that some individuals do not describe their gender in binary terms, and acknowledge the complexity of applying this policy.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Nudity definition referencing cultural practices. Definitional 'More information' excerpt with no rules/enforcement language; power=0. B3=1 ('prevailing cultural practices').
H021,CG,sub,CG_sub_20240218100501_N5LS5EFQSMGM.html,18-20,cultural,cultural practice,"Content is ineligible for the FYF if it shows moderate body exposure of a young person, or significant body exposure of an adult. We allow regional exceptions for body exposure in limited situations, such as common cultural practices. **More information** **Nudity** is showing intimate body parts that prevailing cultural norms indicate should be fully covered.",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,FYF body exposure restrictions with cultural exception. power=1 ('Content is ineligible for the FYF'). safety=1 ('moderate body exposure of a young person' — youth protection). B3=1 ('common cultural practices' + 'prevailing cultural norms').
H022,CG,sub,CG_sub_20230422025733_RL2H5CZGNEKF.html,27-29,indigenous|traditional,"indigenous, tradition","**Moderate body exposure** includes showing the visible outline of covered genitalia, nipples through clothing, and exposed skin near an intimate body part, such as a part of a breast and the upper part of the thigh. **NOT allowed** 
- Nudity of adults, including photography and digitally created images such as manga and anime 
- Nudity of young people, including visual fine art, objects, photography, and digitally created images such as manga and anime(learn more about CSAM inYouth Exploitation) 
- Significant body exposure of young people **Age-restricted (18 years and older)** 
- Significant body exposure of adults **FYF** **ineligible** 
- Significant body exposure of adults 
- Moderate body exposure of young people **Allowed** 
- Non-sexualized content showing areolas or nipples of:infants or toddlersgirls or women in medical contexts, for educational purposes, or as a part of a culturally accepted practice, such as indigenous populations who do not traditionally wear top coveringswomen in culturally expected contexts, such as breastfeeding and chestfeeding, at political protests, or at large celebration festivals such as Carnival 
- Areolas and nipples of men and boys (including those who are transgender or intersex), or people who are non-binary 
- Body exposure that appears in culturally expected contexts, such as athletes wearing sports apparel and swimsuits at a beach or festival 

Sexually Suggestive Content

 We welcome performances and dances where people can creatively express themselves, celebrate their culture, or seek to entertain. We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation.",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Body exposure policy (similar to H014). power=1 (NOT allowed/Age-restricted/FYF rules). safety=1 (young people protection + 'risk of exploitation'). B3=1 ('indigenous populations' + 'culturally expected'). B4=1 ('traditionally wear top coverings').
H023,CG,sub,CG_sub_20240824065022_HVFIR2FNEZCE.html,21-23,indigenous,marginalized,"We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the principle of equality and mitigating harms that disproportionately affect marginalized groups. - Protect individual privacy: We are committed to protecting and respecting the privacy of our community and of individuals who are shown or discussed in content on the platform. We seek to ensure that content shared on the platform does not expose anyone’s personal information or invade their intimate privacy.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Equality + privacy values statement. privacy=1 ('Protect individual privacy' + privacy commitment). safety=1 ('mitigating harms'). community=1 ('our community'). B3=1 ('marginalized groups'). No 'must/violation' language so power=0.
H024,CG,sub,CG_sub_20230523031217_NQY3J6URHJBL.html,28-30,indigenous|traditional,"indigenous, tradition","**NOT allowed** 
- Nudity of adults, including photography and digitally created images such as manga and anime 
- Nudity of young people, including visual fine art, objects, photography, and digitally created images such as manga and anime(learn more about CSAM inYouth Exploitation) 
- Significant body exposure of young people **Age-restricted (18 years and older)** 
- Significant body exposure of adults **FYF** **ineligible** 
- Significant body exposure of adults 
- Moderate body exposure of young people **Allowed** 
- Non-sexualized content showing areolas or nipples of:infants or toddlersgirls or women in medical contexts, for educational purposes, or as a part of a culturally accepted practice, such as indigenous populations who do not traditionally wear top coveringswomen in culturally expected contexts, such as breastfeeding and chestfeeding, at political protests, or at large celebration festivals such as Carnival 
- Areolas and nipples of men and boys (including those who are transgender or intersex), or people who are non-binary 
- Body exposure that appears in culturally expected contexts, such as athletes wearing sports apparel and swimsuits at a beach or festival 

Sexually Suggestive Content

 We welcome performances and dances where people can creatively express themselves, celebrate their culture, or seek to entertain. We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation. **We do not allow seductive performances or allusions to sexual activity by young people, or the use of sexually explicit narratives by anyone.** We do allow some artistic content with sexual references, such as song lyrics.",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Body exposure policy (near-duplicate of H014/H022). power=1 (NOT allowed/Age-restricted/FYF rules). safety=1 (CSAM + 'risk of exploitation'). B3=1 ('indigenous populations' + 'culturally expected'). B4=1 ('traditionally wear top coverings').
H025,CG,sub,CG_sub_20240714035359_KN4PX5WSU2IS.html,20-22,indigenous,marginalized,"We value and celebrate different cultures, identities, appearances, viewpoints, interests, and experiences. We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the principle of equality and mitigating harms that disproportionately affect marginalized groups. - Protect individual privacy: We are committed to protecting and respecting the privacy of our community and of individuals who are shown or discussed in content on the platform.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Inclusion + privacy values (similar to H023). privacy=1 (privacy commitment). safety=1 ('mitigating harms'). community=1 ('value and celebrate different cultures, identities' + 'our community'). B3=1 ('marginalized groups')."
H026,CG,sub,CG_sub_20240403002448_BZVLVXSJAP4J.html,22-24,indigenous,marginalized,"We value and celebrate different cultures, identities, appearances, viewpoints, interests, and experiences. We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the human right ofequal protection, equity, and mitigating harms that disproportionately affect marginalized or underrepresented groups. - Protect individual privacy: The right toprivacyprovides people a sense of autonomy, comfort, and security.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Equity + privacy values. privacy=1 ('right to privacy'). safety=1 ('mitigating harms'). community=1 ('celebrate different cultures, identities, appearances...'). B3=1 ('marginalized or underrepresented groups')."
H027,CG,sub,CG_sub_20240824065022_HVFIR2FNEZCE.html,19-21,indigenous,marginalized,"- Champion inclusion:We want people from around the world to feel welcome on our platform. We value and celebrate different cultures, identities, appearances, viewpoints, interests, and experiences. We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the principle of equality and mitigating harms that disproportionately affect marginalized groups.",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Champion inclusion value statement. community=1 ('feel welcome' + 'celebrate different cultures, identities'). safety=1 ('mitigating harms'). B3=1 ('marginalized groups'). No rules/privacy specifics in this excerpt."
H028,NEWS,2020,NEWS_20201229140107_DWAG5R6FF4PO.html,46-48,indigenous,marginalized,"**Building with empathy and inclusivity** Safety and inclusion go hand-in-hand, and we believe in maintaining an environment that celebrates everyone. We've evolved our hate speech policy to better account for scenarios where underrepresented groups may feel excluded or marginalized and to counter hateful ideologies. It's critical that we listen to the perspectives of our users, learn from them, and act.",0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,"Newsroom post on policy evolution. safety=1 ('Safety and inclusion go hand-in-hand'). community=1 ('empathy and inclusivity' + 'celebrates everyone'). improvement=1 ('We've evolved our hate speech policy' + 'listen, learn, and act'). B3=1 ('underrepresented groups' + 'marginalized')."
H029,CG,2022,CG_20221022195932_VHID7Y5MESBJ.html,107-109,religious,"religio, religi","Organized hate groups We use the term “organized hate” to refer to those individuals and organizations who attack people based on protected attributes, such as race, ethnicity, national origin, religion, caste, sexual orientation, sex, gender, gender identity, or immigration status. We consider attacks to include actions that incite violence or hatred, that aim to dehumanize individuals or groups, or that embrace a hateful ideology. Criminal organizations Criminal organizations are transnational, national, or local groups that have engaged in serious crimes, including violent crimes (e.g., homicide, rape, robbery, assault), trafficking (e.g., human, organ, drug, weapons), kidnapping, financial crimes (e.g., extortion, blackmail, fraud, money laundering), or cybercrime.",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Organized hate + criminal orgs definitions. power=1 (defines banned actor categories). safety=1 (violence/hate/serious crimes). B2=1 (religion as protected attribute in hate-attack list).
H030,CG,sub,CG_sub_20231110202514_FG3J4SQKXFTW.html,9-11,religious,"Religio, Religi","**We do not allow any hateful behavior, hate speech, or promotion of hateful ideologies.** This includes content that attacks a person or group because of protected attributes, including: 
- Caste 
- Ethnicity 
- National Origin 
- Race 
- Religion 
- Tribe 
- Immigration Status 
- Gender 
- Gender Identity 
- Sex 
- Sexual Orientation 
- Disability 
- Serious Disease **More information** **Hateful ideologies** are systems of beliefs that exclude, oppress, or otherwise discriminate against individuals based on their protected attributes, such as racial supremacy, misogyny, anti-LGBTQIA+, and antisemitism. **Protected attributes** are personal characteristics that we are born with, are immutable, or cannot change without severe psychological harm, and which may result in disproportionate stigmatization. In addition, we also provide some protections related to age, and may consider other protected attributes when we have additional context, such as specific regional information provided to us by a local non-governmental organization (NGO).",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Hateful behavior prohibition (similar to H004). power=1 ('we do not allow'). safety=1 (hate speech harm). B2=1 (Religion in protected attributes). B3=1 (Tribe in protected attributes).
